arm	fps	p50_ms	p95_ms	gpu_ms	bw	rewritten	bound(begins>0)	total_binds
ctrl1	59.081	16.665	20.0028	13.3649	7175.0	0	0	0
ctrl2	59.143	16.695	20.0268	13.2924	7250	0	0	0
ctrl3	59.314	16.6935	19.681	13.3749	7300	0	0	0
ctrl4	59.36	16.6675	20.2164	13.2643	7350.0	0	0	0
ctrl5	59.179	16.706	20.0707	13.2507	7000	0	0	0
knob1	59.394	16.675	19.867	13.2385	7250	45	36	44249
knob2	59.331	16.6825	19.8349	13.3414	7350.0	49	36	48221
knob3	58.982	16.686	20.0456	13.3113	7250	40	31	48204
knob4	59.514	16.639	19.946	13.346	7350	48	37	44364
knob5	59.2	16.67	19.7942	13.3216	7175.0	44	35	51985
