round	run	exit	stop	achieved	steps	calls	wall
1	20260828-221523	1	done	false	38	28	427s
2	20260828-222300	1	done	false	57	39	634s
3	20260828-223437	1	model_fail	-	20	13	474s
3	20260828-234057	1	model_fail	-	21	17	675s
3	20260828-235911	1	done	false	37	27	472s
4	20260829-000818	0	done	true	46	34	583s
5	20260829-001856	1	model_fail	-	16	11	628s
5	20260829-003121	1	done	false	21	16	304s
6	20260829-003749	0	done	true	39	27	324s
7	20260829-004335	1	done	false	62	43	478s
8	20260829-005240	0	done	true	36	23	329s
9	20260829-005830	0	done	true	64	44	605s
10	20260829-010900	0	done	true	42	30	424s
